Reg_Predicted_Class,FRW_Predicted_Class,pred_ID_reg_prob,X0_reg_prob,X1_reg_prob,pred_ID_frw_prob,X0_frw_prob,X1_frw_prob,true,ID,train_count_0,train_count_1,test_count_0,test_count_1,md,complexity,tree_count
0,0,1,0.27,0.73,1,0.28,0.72,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,2,0.58,0.42,2,0.66,0.34,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,3,0.93,0.07,3,0.95,0.05,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,4,0.88,0.12,4,0.97,0.03,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,5,0.81,0.19,5,0.82,0.18,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,1,6,0.49,0.51,6,0.53,0.47,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,7,0.55,0.45,7,0.53,0.47,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,8,0.11,0.89,8,0.13,0.87,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,9,0.41,0.59,9,0.4,0.6,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,0,10,0,1,10,0.01,0.99,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,11,0.61,0.39,11,0.61,0.39,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,12,0.65,0.35,12,0.62,0.38,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,13,0.49,0.51,13,0.43,0.57,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,14,0.11,0.89,14,0.13,0.87,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,15,0.57,0.43,15,0.59,0.41,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,16,0.91,0.09,16,0.93,0.07,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,17,0,1,17,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,0,18,0.93,0.07,18,1,0,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,19,0.42,0.58,19,0.41,0.59,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,20,0.58,0.42,20,0.65,0.35,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,21,0,1,21,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,0,22,0.93,0.07,22,1,0,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,23,0.94,0.06,23,0.93,0.07,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,24,0.98,0.02,24,0.99,0.01,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,25,0.94,0.06,25,0.92,0.08,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,26,1,0,26,1,0,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,27,0.75,0.25,27,0.67,0.33,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,28,0.36,0.64,28,0.35,0.65,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,29,0.21,0.79,29,0.28,0.72,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,30,0.44,0.56,30,0.36,0.64,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,31,0.07,0.93,31,0.09,0.91,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,32,0.21,0.79,32,0.26,0.74,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,0,33,0.98,0.02,33,1,0,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,34,0.1,0.9,34,0.13,0.87,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,35,0,1,35,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,0,36,0,1,36,0.01,0.99,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,37,0.07,0.93,37,0.06,0.94,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,1,38,0.01,0.99,38,0,1,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,39,0.61,0.39,39,0.56,0.44,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,40,0.93,0.07,40,0.9,0.1,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,41,1,0,41,1,0,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,42,0.24,0.76,42,0.24,0.76,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,43,0.49,0.51,43,0.48,0.52,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,44,0.81,0.19,44,0.79,0.21,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,45,0.29,0.71,45,0.31,0.69,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
0,0,46,0.27,0.73,46,0.2,0.8,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,47,0.81,0.19,47,0.82,0.18,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,48,0.58,0.42,48,0.63,0.37,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,49,0.6,0.4,49,0.52,0.48,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,50,0.98,0.02,50,0.95,0.05,0,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
1,1,51,0.89,0.11,51,0.89,0.11,1,2019-10-05 22:21:28,111,91,52,48,2,0.01,100
