Reg_Predicted_Class,FRW_Predicted_Class,pred_ID_reg_prob,setosa_reg_prob,versicolor_reg_prob,virginica_reg_prob,pred_ID_frw_prob,setosa_frw_prob,versicolor_frw_prob,virginica_frw_prob,true,ID,train_count_0,train_count_1,test_count_0,test_count_1,md,ms,complexity,tree_count
setosa,setosa,1,1,0,0,1,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,2,1,0,0,2,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,3,1,0,0,3,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,4,1,0,0,4,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,5,1,0,0,5,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,6,1,0,0,6,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,7,1,0,0,7,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,8,1,0,0,8,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,9,1,0,0,9,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,10,1,0,0,10,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,11,1,0,0,11,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,12,1,0,0,12,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,13,1,0,0,13,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,14,1,0,0,14,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,15,1,0,0,15,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,16,1,0,0,16,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,17,1,0,0,17,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,18,1,0,0,18,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,19,1,0,0,19,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,20,1,0,0,20,1,0,0,setosa,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,versicolor,21,0,0.99,0.01,21,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,22,0,1,0,22,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,versicolor,23,0,0.99,0.01,23,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,24,0,1,0,24,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,25,0,1,0,25,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,versicolor,26,0,0.99,0.01,26,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,27,0,1,0,27,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,28,0,1,0,28,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,29,0,0.07,0.93,29,0,0.07,0.93,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,30,0,1,0,30,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,31,0,1,0,31,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,32,0,0.91,0.09,32,0,0.87,0.13,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,versicolor,33,0,0.98,0.02,33,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,34,0,1,0,34,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
versicolor,versicolor,35,0,1,0,35,0,1,0,versicolor,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,36,0,0,1,36,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,37,0,0,1,37,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,38,0,0,1,38,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,39,0,0,1,39,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,40,0,0,1,40,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,41,0,0,1,41,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,42,0,0,1,42,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,43,0,0,1,43,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,44,0,0,1,44,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,45,0,0,1,45,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,46,0,0.8,0.2,46,0,0.84,0.16,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,47,0,0,1,47,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,48,0,0,1,48,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,49,0,0,1,49,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
virginica,virginica,50,0,0,1,50,0,0,1,virginica,2019-10-02 09:05:02,0,0,0,0,2,5,0.01,100
setosa,setosa,1,1,0,0,1,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,2,1,0,0,2,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,3,1,0,0,3,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,4,1,0,0,4,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,5,1,0,0,5,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,6,1,0,0,6,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,7,1,0,0,7,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,8,1,0,0,8,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,9,1,0,0,9,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,10,1,0,0,10,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
setosa,setosa,11,1,0,0,11,1,0,0,setosa,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
virginica,virginica,12,0,0.816,0.184,12,0,0.73,0.27,versicolor,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
versicolor,versicolor,13,0,1,0,13,0,1,0,versicolor,2019-10-02 09:06:17,0,0,0,0,2,5,0.01,500
