Reg_Predicted_Class,FRW_Predicted_Class,pred_ID_reg_prob,setosa_reg_prob,versicolor_reg_prob,virginica_reg_prob,pred_ID_frw_prob,setosa_frw_prob,versicolor_frw_prob,virginica_frw_prob,true,ID,train_count_setosa,train_count_versicolor,train_count_virginica,test_count_setosa,test_count_versicolor,test_count_virginica,md,ms,complexity,tree_count
setosa,setosa,1,1,0,0,1,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,2,1,0,0,2,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,3,1,0,0,3,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,4,1,0,0,4,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,5,1,0,0,5,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,6,1,0,0,6,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,7,1,0,0,7,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,8,1,0,0,8,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,9,1,0,0,9,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,10,1,0,0,10,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,11,1,0,0,11,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,12,1,0,0,12,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,13,1,0,0,13,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,14,1,0,0,14,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
setosa,setosa,15,1,0,0,15,1,0,0,setosa,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,versicolor,16,0,0.98,0.02,16,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,17,0,1,0,17,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
virginica,virginica,18,0,0.66,0.34,18,0,0.66,0.34,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,19,0,1,0,19,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,20,0,1,0,20,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,21,0,1,0,21,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,22,0,1,0,22,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,23,0,0.43,0.57,23,0,0.33,0.67,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,24,0,1,0,24,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,25,0,1,0,25,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,26,0,1,0,26,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,27,0,1,0,27,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,28,0,1,0,28,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,29,0,1,0,29,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
versicolor,versicolor,30,0,1,0,30,0,1,0,versicolor,2019-10-03 01:13:44,35,32,33,15,18,17,2,5,0.01,100
